,reviews,sentiment
0,"This is a nice wallet for the price however the color isn't at all what it appears online.  I ordered the pink and expected pink (like soft pink or cotton candy pink). The wallet is instead more of a peach /orange color.  Again, it's a nice wallet and I'll use it now that I have it but since my purse is pink it really doesn't match.  I can't speak for the other colors but I would beware when buying that the actual color may be different than represented online.  That being said, I was able to fit quite a few credit cards in the wallet and there is room for cash and other items as well.",1
1,Really inexpensive. Fit fine. Wrinkles easily.,1
2,"Nice looking belt. Fabric is far more stretchy then they indicate in the description. As a 34 waist, when I pull to tighten up, have at least 5-6 of overlap. Almost could have gone with a small I think. Works well if needing a belt for look, but if you need to cinch up a pair of pants/shorts that are a bit big, then you need to tighten it up a fair amount. Its NOT a solid leather/cloth belt. The tongue of the belt is also pretty wide so have to force through the loop as well as belt loops on pants/shorts. Not such a big deal, but is does rub the leather edges when needing to unbuckle. Time will tell if this begins to rub the stain off the leather or perhaps it wears in well with age.",1
3,The belts are quite flimsy and not as thick as I expected.  They will work but are not stiff and thick like others (of other colors) I own. They were delivered and promptly and in excellent condition.,1
4,"The bra fit ok. The cups ran a little big, and there is no support. I won't be able to wear this with many outfits because of that, plus, you can see the diagonal lines on the bra along with ""other things"" through your top. There needs to be a lining. The back support is pretty good. I'll probably just wear it around the house though.",1
5,Love this brand!! Been pleased with it for years! Never disappoints and the Jammie's last and last! Highly recommend!,1
6,My husband loves these cargo shorts ~ Excellent quality ~ Fits true to size ~ Launders well ~ Highly recommend,1
7,"Length wise they fit perfectly, but width is a little small. My little toes don't fit on the shoe too well.",1
8,"Seems and threading coming apart only after a few washes. Very pretty prints, but not holding up well for the price. Wish International shopping ctr was still there to buy these kinds of shorts.",1
9,My son LOVES these and they are so cute!,1
10,Very sweet.,1
11,"They are great for the value. For me finding a size 5 is very hard. I get most of mine from Q.V.C., It is the only place I can find a size 5''
Then I thought of Amazon and Bingo, got them and no shipping. It was great.",1
12,"Finely made product, great material and extremely stylish. It also comes in the exact same style but in black...which is what I got in the mail. Easy mix up I guess",1
13,I purchased shoes based on color my sons favorite but seems like the shoe runs short. We will keep it because returns hard and a Xmas present but wouldn't consider again at this point. Found another brand green a well but way better fit and he looked comfortable wearing them. We ill save the others for him to get on Xmas.,1
14,Good deal. Hanging strings are a bit too long.,1
15,"Love my purse, holds everything for me.",1
16,They're long for someone who is 5'2 but were a great alternative to gladiator sandals when paired with a Egyptian goddess costume.,1
17,"I bought these for my oldest granddaughter, who is turning 15.  They are very pretty, and I hope she likes them as much as I do.",1
18,"I bought the carry-on and larger suitcase from this set and loved the vibrant color and how much space they both have inside. However, on only my second trip I had to check the carry-on and it came back with the hard portion near the wheel completely cracked through. The airline offered me the cost of replacing it, but since it only lasted two trips, I'll be replacing it with another brand. Too bad. The color and storage space is great, but I can't afford to replace the whole set multiple times per year. This would be best for a car or infrequent traveler. Those of us who fly every week for work need something more sturdy.",1
19,Great shoes to wear with shorts or jean capris.  Glad I bought these after a suggestion from a friend.,1
20,Good,1
21,Fits great,1
22,Love it!  My granddaughter looked like a fairy princess for her 4th birthday.,1
23,"I got what's expected. Good replacement band for great watch. Just wish it was a bit cheaper, I could buy a cheap watch for the price of this Mudman band.",1
24,when i first purchase this item it took some super strength and a little wiggling to get it on. When i got it on it held in every thing nicely. the only bad thing i did not like is how it made my butt look like it was split.,1
25,"I have quite a few sweatshirts from Joe's.  They are wonderful, soft and warm.  I can always rely on the sizing.",1
26,Comfortable shoes for sure my favorite shoes.,1
27,"I recieved these yesterday, and they fit well and look good.  I've worn Rockports before, usually the ""World Tour"" shoes, this is the first time buying the Actiflex shoe, and so far I'm happy with them.",1
28,Thank you and I will buy from you again,1
29,Would have giveb it full five stars.. its larger than expected.. almost like a long chain which usually one wears with a maxi dress. I had not read the description. I thought would be small as a pendant. But its very prettty,1
30,More color options needed,1
31,Good product,1
32,"Too big , too long for x-large, nice color",1
33,love it but there is no drawstring in the pants,1
34,Awesome.  Loved them.,1
35,Great item for my 80's John McEnroe costume.  Probably more ideal for people with smaller calves (I have VERY large calves and they REALLY stretched around my calves).,1
36,Great quality but 1/2 the size I thought it would be! Child size.,1
37,"I absolutely love the style and quality of Born shoes, but unfortunately I have found through much experience that Born shoes in general run somewhat narrower than other brands of shoes.  I always have to put shoe stretchers in them to wear them because they do not make many wider styles.",1
38,I like this ring it satisfies my need,1
39,"Fits good. However, I ordered 6 pairs and only got 4 pairs.",1
40,Great tenis,1
41,"I was surprised at how nice this was, especially for the price.  Sure, you can tell the difference between it and one of the incredibly expensive ones, but for costume jewelry it's a good deal.  It was a Christmas gift for my niece, and when we Skyped the next day she had it on and was thrilled with it.  The little box it comes in is a nice touch.  I'm wondering if it'll end up getting tarnished soon, but I'd think with care and cleaning it should be good for some time.",1
42,Nice jacket!,1
43,"strong design
for the price its a bargain
wife was pleased so that says it all
I would recommend
Weighty, not just a knockoff piece but quality construction",1
